bill,name,vote
S1M-1,"Canavan, Dennis",1
S1M-4.1,"Canavan, Dennis",1
S1M-4.3,"Canavan, Dennis",1
S1M-4,"Canavan, Dennis",-1
S1M-5,"Canavan, Dennis",-1
S1M-17,"Canavan, Dennis",-1
S1M-29,"Canavan, Dennis",-1
S1M-19.2,"Canavan, Dennis",1
S1M-40.1,"Canavan, Dennis",-1
S1M-40.2,"Canavan, Dennis",-1
S1M-52.1,"Canavan, Dennis",1
S1M-52,"Canavan, Dennis",-1
S1M-2.4,"Canavan, Dennis",1
S1M-2,"Canavan, Dennis",-1
S1M-53.1,"Canavan, Dennis",1
S1M-53.2,"Canavan, Dennis",1
S1M-53.3,"Canavan, Dennis",1
S1M-53.4,"Canavan, Dennis",1
S1M-53,"Canavan, Dennis",-1
S1M-60,"Canavan, Dennis",1
S1M-61,"Canavan, Dennis",0
S1M-67.1,"Canavan, Dennis",-1
S1M-67,"Canavan, Dennis",-1
S1M-68.1,"Canavan, Dennis",-1
S1M-68.2,"Canavan, Dennis",-1
S1M-68,"Canavan, Dennis",0
S1M-105.1,"Canavan, Dennis",-1
S1M-127.1,"Canavan, Dennis",0
S1M-127,"Canavan, Dennis",0
S1M-131.1,"Canavan, Dennis",-1
S1M-131,"Canavan, Dennis",1
S1M-137,"Canavan, Dennis",0
S1M-151.2,"Canavan, Dennis",1
S1M-151Mr,"Canavan, Dennis",1
S1M-154.2,"Canavan, Dennis",1
S1M-160.1,"Canavan, Dennis",-1
S1M-163.1,"Canavan, Dennis",-1
S1M-171.2,"Canavan, Dennis",1
S1M-172.1,"Canavan, Dennis",-1
S1M-172,"Canavan, Dennis",-1
S1M-186.1,"Canavan, Dennis",1
S1M-186,"Canavan, Dennis",-1
S1M-185.1,"Canavan, Dennis",1
S1M-185.2,"Canavan, Dennis",1
S1M-185,"Canavan, Dennis",1
S1M-230.2,"Canavan, Dennis",1
S1M-230,"Canavan, Dennis",-1
S1M-240.2,"Canavan, Dennis",0
S1M-242.1,"Canavan, Dennis",-1
S1M-242.2,"Canavan, Dennis",-1
S1M-242,"Canavan, Dennis",-1
S1M-258.1,"Canavan, Dennis",-1
S1M-258.2,"Canavan, Dennis",-1
S1M-285.1,"Canavan, Dennis",1
S1M-296.1,"Canavan, Dennis",0
S1M-296.2,"Canavan, Dennis",0
S1M-295.1,"Canavan, Dennis",0
S1M-295,"Canavan, Dennis",0
S1M-314.1,"Canavan, Dennis",0
S1M-314,"Canavan, Dennis",0
S1M-313.2,"Canavan, Dennis",0
S1M-313.1,"Canavan, Dennis",0
S1M-313,"Canavan, Dennis",0
S1M-316.1,"Canavan, Dennis",1
S1M-316.2,"Canavan, Dennis",1
S1M-316,"Canavan, Dennis",1
S1M-327.1,"Canavan, Dennis",0
S1M-327,"Canavan, Dennis",0
S1M-334.2,"Canavan, Dennis",0
S1M-334.1Bill,"Canavan, Dennis",0
S1M-334,"Canavan, Dennis",0
S1M-358.1,"Canavan, Dennis",1
S1M-381,"Canavan, Dennis",-1
S1M-354.1,"Canavan, Dennis",1
S1M-378,"Canavan, Dennis",0
S1M-383.3,"Canavan, Dennis",-1
S1M-383,"Canavan, Dennis",-1
