"","year","q7a","q7b","q7c","q7d","q102a","q102b","q102c","q102d","q102e","q102f","q102g","q104","q105","q106","q107","gender","age","degree","sei","ops","marital","q135","n"
"1",1992,2,3,2,1,1,1,1,1,1,1,1,2,2,1,2,"Female",62,"Less than high school",41,42,0,130,1
"2",1992,1,3,2,1,1,1,1,1,1,8,1,4,1,1,1,"Female",43,"Less than high school",16,23,1,120,2
"3",1992,2,4,3,3,1,1,1,1,1,1,1,4,3,3,3,"Female",27,"High school          ",55,46,0,200,2
"4",1992,2,3,2,2,1,1,1,1,1,1,1,4,2,1,2,"Female",36,"High school          ",43,32,1,300,4
"5",1992,3,3,2,2,1,8,1,8,1,8,8,2,1,1,3,"Female",41,"Less than high school",29,32,1,200,5
"6",1992,3,2,2,2,1,1,1,1,1,1,1,3,1,1,4,"Female",60,"Less than high school",25,17,0,NA,1
"7",1992,2,4,3,2,1,1,1,1,1,1,1,4,2,1,2,"Male  ",42,"Less than high school",19,31,1,220,4
"8",1992,4,1,1,1,1,2,1,2,1,1,2,3,1,1,3,"Female",79,"Less than high school",25,23,0,140,1
"9",1992,3,1,1,1,2,2,2,2,2,2,2,3,1,1,2,"Male  ",66,"Less than high school",40,40,1,200,2
"10",1992,4,2,1,1,1,1,1,1,1,1,2,4,1,1,2,"Male  ",59,"High school          ",31,33,0,85,1
"11",1992,2,3,3,3,1,1,1,1,1,1,1,4,3,8,4,"Male  ",45,"Less than high school",34,33,1,100,4
"12",1992,1,2,1,1,1,2,1,2,1,2,2,4,8,8,2,"Female",60,"More than high school",38,44,1,300,2
"13",1992,1,2,1,2,1,1,1,1,1,1,8,4,3,3,2,"Female",49,"Less than high school",40,38,0,250,3
"14",1992,2,1,2,2,1,1,1,1,1,1,1,8,3,8,2,"Male  ",58,"Less than high school",40,40,1,400,2
"15",1992,4,2,2,1,1,1,1,1,1,8,1,4,2,4,2,"Female",67,"High school          ",39,36,1,250,2
"16",1992,4,4,1,2,1,2,1,2,2,2,2,2,2,1,3,"Male  ",64,"More than high school",68,65,1,330,2
"17",1992,3,2,2,1,1,2,2,2,2,2,2,2,1,1,3,"Male  ",64,"Less than high school",67,60,1,370,2
"18",1992,2,3,4,3,1,1,1,1,1,1,2,4,2,1,2,"Male  ",30,"Less than high school",36,38,0,550,4
"19",1992,3,2,1,1,2,2,8,2,8,2,2,2,1,1,3,"Female",62,"High school          ",39,33,0,290,3
"20",1992,2,4,2,2,1,2,1,2,1,2,2,4,1,4,3,"Male  ",52,"More than high school",64,57,1,500,3
"21",1992,2,3,2,3,1,1,1,1,1,1,2,4,8,8,2,"Female",50,"High school          ",51,36,0,150,2
"22",1992,2,3,3,3,1,1,1,1,1,1,1,3,2,1,4,"Female",63,"More than high school",38,50,0,200,1
"23",1992,2,2,1,1,1,1,1,1,1,1,1,3,3,4,2,"Female",66,"Less than high school",43,32,0,440,2
"24",1992,3,3,2,8,1,1,1,1,1,1,1,4,1,4,8,"Male  ",38,"More than high school",67,66,0,420,1
"25",1992,2,3,3,3,1,1,1,1,1,1,1,4,2,1,2,"Male  ",59,"More than high school",77,78,1,1000,2
"26",1992,2,1,1,3,2,2,1,2,1,2,2,1,1,1,1,"Female",77,"High school          ",51,49,0,140,1
"27",1992,1,1,1,1,1,1,1,1,1,1,1,3,3,8,3,"Male  ",46,"Less than high school",23,13,1,400,2
"28",1992,3,2,2,1,1,1,1,1,1,1,1,4,1,1,1,"Male  ",36,"Less than high school",34,32,0,100,3
"29",1992,2,2,2,1,1,1,1,1,1,1,1,4,1,1,4,"Male  ",31,"More than high school",51,50,1,500,3
"30",1992,2,3,2,3,1,1,1,1,1,1,8,3,2,2,4,"Male  ",60,"More than high school",73,63,1,350,2
"31",1992,2,3,2,3,1,1,1,1,1,8,8,3,2,1,3,"Female",57,"Less than high school",20,18,1,90,2
"32",1992,3,2,1,1,1,1,1,1,1,1,2,4,1,1,4,"Male  ",74,"High school          ",56,55,1,250,2
"33",1992,1,3,2,1,1,1,1,1,1,1,1,4,3,1,4,"Male  ",42,"Less than high school",43,32,1,400,1
"34",1992,3,2,2,1,1,1,1,1,1,1,1,3,2,2,4,"Male  ",56,"Less than high school",40,40,1,300,2
"35",1992,3,2,2,2,2,2,2,2,2,2,2,1,1,1,2,"Female",37,"More than high school",88,78,0,250,1
"36",1992,3,8,2,1,1,1,1,1,1,1,1,4,4,1,1,"Male  ",41,"More than high school",49,46,1,700,3
"37",1992,4,4,1,1,1,8,1,8,1,1,8,4,3,4,3,"Female",38,"Less than high school",51,42,1,550,4
"38",1992,4,3,1,4,1,1,1,1,1,1,1,4,4,8,3,"Female",32,"High school          ",38,44,0,200,2
"39",1992,3,3,2,3,1,8,1,1,1,1,2,4,2,2,3,"Male  ",37,"High school          ",46,46,0,NA,1
"40",1992,3,2,2,2,1,1,1,1,1,1,1,4,4,1,2,"Male  ",29,"High school          ",39,48,1,550,3
"41",1992,4,3,1,1,1,1,1,1,1,2,1,4,4,4,4,"Female",44,"Less than high school",38,43,0,300,3
"42",1992,3,3,2,2,1,1,1,1,1,1,1,3,1,1,1,"Female",56,"Less than high school",25,23,1,250,3
"43",1992,2,3,2,1,1,1,1,1,1,1,1,8,1,1,4,"Female",43,"High school          ",51,49,1,470,4
"44",1992,1,3,1,1,1,2,1,2,1,2,2,4,1,1,2,"Male  ",60,"High school          ",67,60,1,350,2
"45",1992,2,4,3,1,1,1,1,8,1,8,8,2,1,1,2,"Female",48,"Less than high school",20,19,1,390,3
"46",1992,3,3,1,1,1,1,1,1,1,1,1,4,4,1,1,"Female",41,"Less than high school",39,41,1,300,5
"47",1992,3,2,3,2,1,1,1,1,1,1,1,4,1,4,2,"Female",37,"High school          ",37,24,1,300,4
"48",1992,2,2,2,1,2,2,2,2,2,2,2,4,1,1,3,"Male  ",65,"More than high school",56,52,1,350,2
"49",1992,4,3,1,1,1,8,1,2,1,2,2,4,1,1,4,"Female",71,"High school          ",53,53,0,165,1
"50",1992,2,1,1,1,1,1,1,1,1,1,1,3,2,4,2,"Male  ",75,"Less than high school",29,32,0,300,1
"51",1992,4,4,1,2,1,2,1,1,1,2,2,4,2,1,2,"Female",68,"Less than high school",43,32,1,170,5
"52",1992,1,1,2,1,1,1,1,1,1,1,1,4,2,3,2,"Male  ",49,"High school          ",45,39,0,220,1
"53",1992,2,3,2,2,1,1,1,2,1,2,1,4,1,2,2,"Female",43,"High school          ",43,44,1,400,3
"54",1992,3,2,2,2,1,1,1,1,1,2,2,4,1,1,1,"Male  ",23,"Less than high school",29,31,0,750,4
"55",1992,1,1,1,1,2,2,2,2,2,2,2,8,1,1,8,"Male  ",82,"Less than high school",27,20,1,240,2
"56",1992,3,2,2,2,1,8,1,8,1,8,1,4,4,4,8,"Female",39,"More than high school",54,57,0,300,2
"57",1992,2,4,4,3,1,1,1,1,1,1,1,4,1,1,3,"Male  ",40,"More than high school",66,57,1,300,4
"58",1992,3,3,2,2,1,NA,1,2,8,2,2,3,1,3,2,"Female",75,"High school          ",43,49,0,180,1
"59",1992,3,1,1,1,8,8,8,8,8,8,8,4,3,8,3,"Female",70,"High school          ",38,50,0,190,1
"60",1992,2,3,2,2,1,1,1,1,1,1,1,4,1,4,2,"Female",43,"More than high school",66,57,0,150,2
"61",1992,2,1,3,2,1,1,1,1,1,1,1,4,4,4,3,"Female",69,"More than high school",53,53,0,350,1
"62",1992,4,3,1,2,1,1,1,1,1,1,1,4,3,1,1,"Female",41,"More than high school",30,37,1,130,4
"63",1992,2,8,2,1,2,2,2,2,2,2,2,1,8,8,1,"Female",77,"Less than high school",45,37,0,125,1
"64",1992,2,3,1,3,1,1,1,1,1,1,1,4,1,4,2,"Female",39,"High school          ",38,44,1,420,4
"65",1992,3,2,2,2,1,1,1,1,1,1,1,3,2,1,2,"Male  ",51,"Less than high school",37,24,1,200,3
"66",1992,2,3,2,2,1,1,1,1,1,1,1,4,2,4,2,"Male  ",55,"Less than high school",30,32,1,350,2
"67",1992,2,4,2,3,1,1,1,1,1,1,1,3,2,4,8,"Female",34,"More than high school",NA,NA,0,NA,1
"68",1992,2,3,2,2,1,1,1,1,1,1,1,4,3,2,2,"Female",46,"Less than high school",43,32,0,93,1
"69",1992,3,3,2,2,1,1,1,1,1,1,1,3,3,2,2,"Female",39,"More than high school",56,46,0,620,1
"70",1992,3,3,3,3,1,1,1,1,1,1,1,4,8,4,2,"Female",48,"High school          ",32,30,1,500,2
"71",1992,3,2,2,1,1,1,1,1,1,1,1,4,3,1,2,"Male  ",53,"High school          ",26,32,1,550,7
"72",1992,2,3,2,2,1,2,1,2,1,2,2,4,1,2,2,"Female",31,"High school          ",38,44,1,300,4
"73",1992,3,2,2,2,1,2,1,2,1,2,2,1,1,1,2,"Female",71,"Less than high school",52,38,0,100,5
"74",1992,3,3,2,2,1,1,1,1,1,1,1,4,3,4,2,"Female",46,"High school          ",51,45,0,245,1
"75",1992,4,4,2,3,1,1,1,8,1,1,8,4,1,1,3,"Female",45,"High school          ",51,49,1,650,3
"76",1992,3,3,2,3,8,2,1,8,1,2,2,2,1,1,2,"Male  ",23,"High school          ",34,43,0,500,5
"77",1992,3,3,2,2,1,1,1,1,1,1,1,4,1,2,2,"Female",41,"More than high school",66,57,0,350,3
"78",1992,2,8,1,2,1,2,1,2,1,2,2,4,3,8,2,"Male  ",64,"High school          ",40,40,1,250,2
"79",1992,3,2,1,1,1,8,1,2,1,2,2,2,1,1,3,"Female",62,"Less than high school",43,32,1,250,2
"80",1992,2,4,2,2,1,1,1,1,1,1,1,4,1,4,2,"Female",55,"More than high school",55,48,1,120,1
"81",1992,2,3,1,3,1,1,1,1,1,1,1,3,3,3,3,"Male  ",61,"More than high school",77,64,1,800,2
"82",1992,3,3,2,1,1,8,1,8,1,8,2,1,1,8,2,"Female",61,"High school          ",55,49,0,125,1
"83",1992,3,2,2,1,1,2,1,1,1,1,1,4,1,1,1,"Female",38,"Less than high school",39,33,1,380,5
"84",1992,2,2,3,1,1,1,1,1,1,1,1,4,1,1,1,"Male  ",49,"Less than high school",33,34,0,500,1
"85",1992,3,3,2,1,1,2,1,2,1,2,1,4,2,4,2,"Male  ",37,"High school          ",59,49,1,220,3
"86",1992,3,2,1,1,1,1,1,1,1,1,1,4,1,1,1,"Male  ",24,"High school          ",24,27,0,400,7
"87",1992,4,2,1,2,1,1,1,1,1,1,1,4,1,4,2,"Female",24,"More than high school",38,44,1,360,3
"88",1992,3,3,2,2,1,2,1,8,1,8,1,4,1,4,2,"Male  ",43,"More than high school",56,45,1,400,3
"89",1992,4,3,2,2,1,1,1,1,1,1,1,4,2,4,1,"Female",44,"Less than high school",24,25,1,170,3
"90",1992,1,3,2,1,1,1,1,1,1,1,1,4,3,3,2,"Male  ",32,"Less than high school",30,44,1,200,2
"91",1992,2,3,3,3,1,2,8,2,8,2,8,3,1,1,2,"Female",35,"High school          ",43,32,1,320,6
"92",1992,3,3,2,2,1,1,1,1,1,1,1,4,3,4,2,"Female",41,"High school          ",51,49,1,300,5
"93",1992,2,2,1,1,1,2,1,1,1,1,2,3,1,1,2,"Female",41,"Less than high school",25,42,1,280,4
"94",1992,3,2,2,2,8,2,2,2,1,8,2,4,1,1,2,"Male  ",25,"Less than high school",33,34,1,450,3
"95",1992,3,2,2,1,1,2,1,2,1,8,2,8,1,1,1,"Male  ",70,"Less than high school",32,30,0,220,1
"96",1992,3,2,2,2,1,2,1,8,1,2,2,4,3,3,2,"Male  ",39,"High school          ",30,31,0,120,1
"97",1992,3,3,2,2,8,2,8,2,8,2,2,3,1,1,1,"Male  ",51,"Less than high school",34,33,1,220,2
"98",1992,2,2,1,1,1,2,1,2,1,2,2,3,1,1,2,"Male  ",57,"Less than high school",23,38,0,300,1
"99",1992,4,2,2,1,2,2,2,2,2,2,2,2,1,1,2,"Male  ",51,"Less than high school",23,38,1,300,7
"100",1992,1,3,2,2,1,1,1,1,1,2,2,4,1,2,3,"Female",21,"More than high school",NA,NA,0,200,8
"101",1992,1,2,2,1,2,2,2,2,2,2,2,3,1,4,1,"Female",40,"High school          ",19,17,0,100,2
"102",1992,1,1,3,2,1,1,1,1,1,2,2,4,1,1,1,"Female",37,"More than high school",66,57,1,150,2
"103",1992,2,3,2,2,1,2,1,2,2,2,2,1,1,1,3,"Male  ",64,"Less than high school",28,33,0,200,1
"104",1992,3,3,1,1,1,1,1,1,1,1,1,3,1,1,3,"Female",36,"High school          ",38,44,1,300,5
"105",1992,3,2,1,1,8,8,8,2,1,2,8,8,8,1,3,"Female",57,"High school          ",51,49,0,160,1
"106",1992,2,3,3,2,2,2,2,2,2,2,2,2,1,1,3,"Male  ",25,"More than high school",NA,NA,1,180,2
"107",1992,3,2,2,2,1,2,1,2,1,2,2,4,1,1,2,"Male  ",33,"High school          ",45,37,1,350,6
"108",1992,3,8,2,1,2,8,8,NA,NA,NA,NA,8,1,8,2,"Male  ",85,"Less than high school",32,25,0,200,1
"109",1992,3,2,2,2,1,1,1,1,1,1,1,4,1,1,1,"Male  ",32,"High school          ",38,36,0,170,1
"110",1992,2,3,1,1,2,1,1,2,1,2,2,4,1,1,1,"Male  ",40,"Less than high school",30,39,1,180,6
"111",1992,3,2,1,1,1,2,1,1,1,2,1,3,2,1,1,"Male  ",30,"Less than high school",50,40,1,370,4
"112",1992,1,4,4,4,1,1,1,1,1,1,1,4,3,3,1,"Female",41,"More than high school",73,63,1,700,4
"113",1992,2,3,3,2,1,2,1,2,1,2,2,3,1,1,2,"Female",28,"High school          ",52,38,1,300,4
"114",1992,1,3,4,2,1,1,1,1,1,8,2,4,3,1,1,"Female",40,"High school          ",16,22,0,120,2
