country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.961,,,0.582,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,,0.129,0.146,0.138,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304,,0.174,0.143,0.293,,,,,,,0.168,0.29,0.277,0.271,0.237,0.223
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.708,0.821,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202,0.177,0.173,0.161,0.131,0.104,0.109,0.117,0.131,0.142,0.15,0.177,0.161,0.159,0.163,0.168,0.163,0.172,0.161,0.169,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0737,0.071,0.0746,0.0722,0.0626,0.0688,0.0788,0.0984,0.0977,0.0988,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,0.266,,,,,,,,,,,,,,,,,0.191,0.223,0.219,0.215,0.178,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.516,,,,,,,,,0.369,0.356,0.362,0.343,0.315,0.371,0.363,0.358,0.36,0.362,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0837,0.0956,0.135,0.223,0.196,0.18,,,,0.179,0.233,0.194,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.404,0.37,0.319,0.342,0.285,0.367,,0.364,0.311,0.3,0.239,,0.161,0.235,,,,0.299,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532,0.425,0.587,,,,,,0.387,,0.299,0.417,,,,,,,,
